,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,Comunidad_Autonoma,Cluster_Marca,Cluster_Modelo
181,19900,Diésel,2019.0,17000,150.0,True,Aragón,Standard,compacto_grande
182,22900,Gasolina,2019.0,17783,130.0,True,Catalunya,Standard,suv_grande
183,14800,Diésel,2010.0,115000,177.0,False,Región_de_Murcia,Premium,sedan_pequeno
184,12890,Gasolina,2016.0,59351,131.0,True,Comunidad_de_Madrid,Mid_Premium,compacto_grande
185,24400,Diésel,2019.0,64000,150.0,False,Comunidad_de_Madrid,Mid_Premium,suv_pequeno
186,20990,Gasolina,2018.0,25208,163.0,True,Comunidad_de_Madrid,Standard,suv_grande
187,25900,Diésel,2016.0,61000,170.0,True,País_Vasco,Premium,sedan_pequeno
189,29990,Diésel,2015.0,175000,218.0,True,País_Vasco,Premium,suv_grande
191,1800,Diésel,2006.0,274000,90.0,False,Andalucía,Standard,suv_pequeno
192,15900,Diésel,2017.0,87741,115.0,True,Comunidad_de_Madrid,Mid_Premium,compacto_grande
193,19900,Híbrido,2019.0,30951,122.0,True,Catalunya,Mid_Premium,compacto_grande
194,13552,Diésel,2016.0,120465,100.0,True,Comunidad_de_Madrid,Standard,furgon_trabajo
195,12700,Gasolina,2017.0,33000,134.0909090909091,False,Castilla_y_León,Standard,suv_grande
196,12000,Diésel,2011.0,190000,170.32142857142858,True,Galicia,Premium,sedan_pequeno
197,32000,Diésel,2020.0,10900,122.85889570552148,True,Principado_de_Asturias,Premium,compacto_pequeno
198,1100,Gasolina,2004.0,249500,88.73988439306359,False,Canarias,Standard,compacto_pequeno
199,2200,Diésel,2004.0,124800,94.28936170212766,False,Islas_Baleares,Standard,compacto_pequeno
200,16900,Diésel,2017.0,29800,110.0,True,Catalunya,Standard,suv_grande
201,15500,Gasolina,2017.0,82000,130.0,True,Comunidad_Valenciana,Standard,suv_grande
202,3900,Diésel,2010.0,270000,94.28936170212766,False,Región_de_Murcia,Standard,compacto_pequeno
203,2200,Gasolina,2004.0,155000,75.0,True,Catalunya,Standard,compacto_pequeno
204,31990,Diésel,2018.0,69790,163.0,True,Castilla_La_Mancha,Premium,suv_grande
205,10800,Gasolina,2018.0,50000,100.0,True,Andalucía,Standard,compacto_pequeno
206,23500,Diésel,2020.0,28,115.0,True,Castilla_y_León,Standard,suv_grande
207,1700,Diésel,2004.0,320000,110.0,True,Extremadura,Standard,sedan_grande
208,7000,Diésel,2011.0,156000,116.67323943661972,False,Andalucía,Standard,compacto_grande
209,4999,Diésel,2004.0,200000,150.0,True,Aragón,Standard,compacto_grande
210,3550,Gasolina,2004.0,164000,136.39144736842104,False,Región_de_Murcia,Mid_Premium,compacto_pequeno
211,1500,Diésel,2002.0,353300,76.66666666666667,False,Andalucía,Standard,otro
212,10100,Diésel,2016.0,102961,110.0,True,Comunidad_de_Madrid,Standard,compacto_grande
213,1450,Diésel,2002.0,260000,110.0,True,Comunidad_Valenciana,Standard,sedan_grande
214,5500,Diésel,2014.0,173000,90.0,True,Cantabria,Standard,furgon_trabajo
215,3490,Gasolina,2003.0,169000,150.0,True,Aragón,Standard,sedan_grande
216,15500,Diésel,2017.0,160000,105.0,True,País_Vasco,Standard,otro
218,4300,Diésel,2001.0,336063,136.390625,False,Castilla_y_León,Premium,furgon_trabajo
220,20800,Diésel,2016.0,57000,136.0,True,Comunidad_de_Madrid,Premium,compacto_pequeno
221,27990,Diésel,2016.0,81000,180.0,True,Castilla_y_León,Mid_Premium,otro
222,10690,Diésel,2013.0,97300,130.0,True,Catalunya,Standard,suv_grande
223,2500,Diésel,2003.0,320000,150.0,False,Catalunya,Premium,sedan_pequeno
224,7300,Diésel,2013.0,196000,121.5489566613162,False,Canarias,Mid_Premium,compacto_grande
225,22100,Híbrido,2019.0,40225,122.0,True,Extremadura,Mid_Premium,suv_pequeno
227,7000,Diésel,2015.0,180000,90.0,True,Andalucía,Mid_Premium,compacto_grande
229,14999,Gasolina,2020.0,2039,72.0,True,País_Vasco,Standard,compacto_pequeno
230,21900,Gasolina,2019.0,9605,120.0,True,Comunidad_Valenciana,Standard,suv_pequeno
231,10900,Diésel,2012.0,218000,140.0,True,Andalucía,Mid_Premium,sedan_grande
232,10990,Eléctrico,2015.0,84300,109.0,True,Comunidad_de_Madrid,Standard,sedan_pequeno
233,7999,Gasolina,2017.0,66500,82.0,False,Comunidad_Valenciana,Standard,compacto_pequeno
234,35000,Diésel,2018.0,53225,180.0,True,Andalucía,Mid_Premium,suv_grande
235,16900,Gasolina,2015.0,65000,120.0,True,Comunidad_Valenciana,Standard,suv_pequeno
236,39809,Diésel,2020.0,950,136.0,True,Castilla_y_León,Premium,furgon_pasajero
237,15900,Diésel,2018.0,79144,120.0,True,Aragón,Standard,suv_pequeno
238,23900,Gasolina,2019.0,9999,136.0,True,Castilla_y_León,Mid_Premium,otro
239,16990,Gasolina,2018.0,20000,110.0,True,Comunidad_Valenciana,Low_Cost,suv_grande
241,13910,Gasolina,2016.0,82000,130.0,True,Andalucía,Standard,compacto_grande
242,27500,Gasolina,2019.0,2023,180.0,True,Aragón,Mid_Premium,compacto_pequeno
243,5800,Diésel,2011.0,110000,105.0,False,Principado_de_Asturias,Standard,suv_grande
244,10600,Diésel,2015.0,73000,115.0,True,Catalunya,Standard,compacto_grande
246,1500,Diésel,2005.0,300000,122.96774193548389,False,Comunidad_de_Madrid,Low_Cost,suv_grande
247,2999,Diésel,2006.0,220000,170.32142857142858,False,Islas_Baleares,Premium,sedan_pequeno
249,23500,Diésel,2016.0,121000,150.0,False,Andalucía,Premium,suv_grande
250,25490,Diésel,2015.0,87769,190.0,True,Castilla_La_Mancha,Premium,suv_grande
251,3450,Diésel,2010.0,222000,118.11458333333331,False,Región_de_Murcia,Standard,suv_grande
253,24990,Híbrido,2018.0,43018,197.0,True,Comunidad_de_Madrid,Mid_Premium,suv_pequeno
254,5600,Gasolina,2014.0,77500,81.3010752688172,False,Extremadura,Standard,compacto_pequeno
255,15900,Gasolina,2018.0,52600,170.0,True,Región_de_Murcia,Low_Cost,otro
256,14463,Diésel,2018.0,85650,125.0,True,Galicia,Low_Cost,furgon_trabajo
257,21400,Gasolina,2018.0,41392,163.0,True,Andalucía,Premium,compacto_pequeno
258,11900,Diésel,2011.0,110000,163.0,True,Catalunya,Premium,sedan_pequeno
259,6490,Diésel,2011.0,174704,115.0,True,País_Vasco,Standard,compacto_grande
260,10000,Diésel,2009.0,163000,190.0,False,Aragón,Premium,sedan_grande
261,23900,Diésel,2016.0,46600,150.0,True,Comunidad_de_Madrid,Premium,suv_pequeno
262,14400,Diésel,2016.0,99234,150.0,True,Comunidad_de_Madrid,Standard,compacto_grande
263,12990,Gasolina,2019.0,25733,100.0,True,Aragón,Standard,compacto_pequeno
